Value,CPI
7.8,211.933
8.3,212.705
8.7,212.495
9.0,212.709
9.4,213.022
9.5,214.790
9.5,214.726
9.6,215.445
9.8,215.861
10.0,216.509
9.9,217.234
9.9,217.347
9.8,217.488
9.8,217.281
9.9,217.353
9.9,217.403
9.6,217.290
9.4,217.199
9.4,217.605
9.5,217.923
9.5,218.275
9.4,219.035
9.8,219.590
9.3,220.472
9.1,221.187
9.0,221.898
9.0,223.046
9.1,224.093
9.0,224.806
9.1,224.806
9.0,225.395
9.0,226.106
9.0,226.597
8.8,226.750
8.6,227.169
8.5,227.223
8.3,227.842
8.3,228.329
8.2,228.807
8.2,229.187
8.2,228.713
8.2,228.524
8.2,228.590
8.1,229.918
7.8,231.015
7.8,231.638
7.7,231.249
7.9,231.221
8.0,231.612
7.7,232.985
7.5,232.299
7.6,231.795
7.5,231.916
7.5,232.374
7.3,232.889
7.3,233.323
7.2,233.632
7.2,233.718
6.9,234.121
6.7,234.723
6.6,235.385
6.7,235.672
6.7,235.978
6.2,236.471
6.3,236.832
6.1,237.029
6.2,237.424
6.2,237.256
5.9,237.486
5.7,237.506
5.8,237.118
5.6,236.290
5.7,234.913
5.5,235.489
5.4,235.989
5.4,236.201
5.5,236.891
5.3,237.419
5.2,237.876
5.1,237.811
5.0,237.467
5.0,237.792
5.0,238.153
5.0,237.846
4.9,238.106
4.9,237.808
5.0,238.078
5.0,238.908
4.7,239.362
4.9,239.842
4.9,239.898
4.9,240.389
4.9,241.006
4.8,241.694
4.6,242.199
4.7,242.821
4.8,244.158
4.7,244.456
4.5,243.752
